1;arms_factory;2952.00;9.70;1367.00;4.40;0
1;arms_factory;2952.00;9.70;1369.00;5.61;0
1;arms_factory;2947.00;9.70;1349.00;3.45;0
1;arms_factory;2953.00;9.70;1357.00;6.11;0
1;arms_factory;2949.00;9.70;1360.00;1.39;0
1;arms_factory;2949.00;9.70;1374.00;4.06;0
1;industrial_complex;2945.00;9.55;1350.00;1.90;0
1;industrial_complex;2943.00;9.70;1361.00;2.00;0
1;industrial_complex;2942.00;9.70;1363.00;6.12;0
1;industrial_complex;2954.00;9.70;1374.00;2.50;0
1;industrial_complex;2949.00;9.70;1367.00;5.17;0
1;industrial_complex;2948.00;9.70;1369.00;1.90;0
1;air_base;2952.00;9.70;1355.00;4.57;0
1;naval_base;2952.00;9.55;1382.00;-3.14;5555
1;naval_base;2941.00;9.50;1371.00;-2.74;5555
1;naval_base;2943.00;9.55;1351.00;-1.57;8918
1;naval_base;2956.00;9.50;1364.00;1.33;5579
1;bunker;2940.00;9.70;1361.00;5.68;0
1;bunker;2948.00;9.70;1347.00;2.06;0
1;bunker;2952.00;9.70;1372.00;5.08;0
1;bunker;2954.00;9.70;1374.00;0.00;0
1;coastal_bunker;2936.00;9.50;1358.00;-0.90;0
1;coastal_bunker;2953.00;9.70;1382.00;-3.14;0
1;coastal_bunker;2942.00;9.55;1355.00;-1.57;0
1;coastal_bunker;2956.00;9.50;1364.00;1.33;0
1;dockyard;2939.00;9.50;1368.00;-2.74;0
1;anti_air_building;2945.00;9.50;1349.00;4.13;0
1;anti_air_building;2945.00;9.70;1369.00;0.51;0
1;anti_air_building;2946.00;9.70;1372.00;4.64;0
1;synthetic_refinery;2954.00;9.70;1364.00;5.84;0
1;fuel_silo;2944.00;9.70;1359.00;2.58;0
1;radar_station;2947.00;9.70;1366.00;5.57;0
1;nuclear_reactor;2946.00;9.70;1355.00;1.62;0
2;arms_factory;3010.00;9.70;1351.00;3.45;0
2;arms_factory;3002.00;9.50;1346.00;6.11;0
2;arms_factory;3007.00;9.70;1352.00;1.39;0
2;arms_factory;3013.00;9.70;1343.00;4.06;0
2;arms_factory;2993.00;9.70;1360.00;1.90;0
2;arms_factory;3001.00;9.70;1350.00;2.00;0
157;industrial_complex;3012.00;9.70;1360.00;4.57;0
2;air_base;3004.00;9.70;1364.00;3.61;0
2;naval_base;2996.00;9.50;1348.00;-0.90;5579
2;naval_base;3005.00;9.50;1343.00;-0.95;5579
2;naval_base;2984.00;9.50;1361.00;-0.59;5579
2;naval_base;2992.00;9.50;1354.00;-0.90;5579
2;bunker;3009.00;9.70;1348.00;5.08;0
2;bunker;2994.00;9.70;1357.00;0.00;0
2;bunker;3006.00;9.70;1361.00;4.12;0
743;bunker;2999.00;9.70;1369.00;0.86;0
2;bunker;3001.00;9.70;1349.00;2.07;0
2;bunker;2985.00;9.70;1364.00;6.19;0
2;bunker;3017.00;9.70;1356.00;2.57;0
2;coastal_bunker;3002.00;9.50;1343.00;-0.95;0
2;coastal_bunker;2994.00;9.50;1351.00;-0.90;0
2;coastal_bunker;2991.00;9.50;1355.00;-0.90;0
2;coastal_bunker;2985.00;9.50;1360.00;-0.59;0
2;dockyard;3015.00;9.50;1341.00;0.22;0
2;anti_air_building;3012.00;9.70;1352.00;5.24;0
2;anti_air_building;3004.00;9.50;1344.00;1.62;0
2;anti_air_building;2997.00;9.70;1360.00;5.74;0
2;synthetic_refinery;2997.00;9.50;1351.00;1.02;0
2;fuel_silo;2995.00;9.70;1358.00;5.15;0
2;radar_station;3006.00;9.70;1357.00;0.70;0
2;nuclear_reactor;2995.00;9.70;1367.00;3.09;0
3;arms_factory;2929.00;9.70;1465.00;1.39;0
3;arms_factory;2934.00;9.70;1457.00;4.06;0
