1;2809.37;9.70;1563.15;small
1;2769.23;9.70;1542.79;small
2;2776.00;9.70;1611.00;small
2;2758.59;9.70;1569.50;small
3;2749.00;9.70;1649.00;small
3;2734.00;9.70;1684.00;small
4;2677.00;9.70;1578.00;small
4;2698.00;9.70;1606.00;small
5;2900.00;9.70;1570.00;small
5;2873.00;9.70;1541.00;small
6;2951.34;9.70;1569.09;big
6;2953.07;9.70;1619.30;small
7;2951.00;9.70;1483.00;small
7;2989.00;9.70;1497.00;small
8;3226.98;9.70;1538.32;big
8;3292.94;9.70;1535.71;big
9;3116.52;9.50;1793.65;small
9;3121.64;9.50;1699.41;big
10;3026.00;9.70;1661.00;small
10;3038.98;9.70;1714.22;big
11;2971.00;9.70;1794.00;big
11;2932.00;9.70;1735.00;big
12;3387.68;9.70;1922.17;big
12;3291.42;9.70;1935.44;big
12;3222.86;9.70;1914.29;big
13;3259.00;9.55;1794.00;big
13;3184.00;9.50;1779.00;big
14;3742.85;9.70;1682.93;small
14;3760.32;9.70;1748.12;big
14;3779.43;9.70;1830.87;big
15;3491.72;9.70;1498.92;big
15;3494.53;9.70;1577.55;big
15;3429.62;9.70;1546.47;small
16;2790.00;9.70;1748.00;big
16;2821.00;9.50;1650.00;big
17;3408.00;9.70;672.00;big
17;3426.00;9.70;746.00;small
17;3525.00;9.70;772.00;big
17;3416.00;9.70;851.00;big
18;2838.00;9.50;1551.00;small
18;2754.00;9.50;1515.00;small
19;2827.00;9.70;1450.00;big
19;2786.00;9.70;1480.00;big
20;2874.76;9.70;1394.22;big
20;2815.92;9.70;1402.88;big
21;2929.00;9.70;1433.00;small
21;2974.81;9.70;1450.20;small
21;3016.67;9.70;1459.25;small
22;3038.96;9.70;1517.58;small
22;3081.58;9.70;1477.83;small
23;3022.15;9.70;1367.82;small
23;2989.96;9.70;1398.49;small
24;3127.00;9.70;1367.00;small
24;3072.00;9.70;1409.00;small
25;3148.71;9.70;1313.54;small
25;3201.08;9.70;1341.81;small
25;3170.95;9.70;1282.62;small
26;3235.65;9.70;1448.19;small
26;3189.00;9.70;1387.00;small
27;3171.55;9.70;1448.94;small
27;3108.07;9.70;1443.16;small
28;3496.00;9.70;1198.00;big
28;3410.00;9.70;1233.00;big
28;3362.48;9.70;1163.37;small
29;3095.93;9.50;1283.28;big
29;3089.00;9.50;1209.00;big
30;3388.65;9.50;1387.41;big
30;3280.08;9.50;1379.73;big
31;4031.00;9.70;947.00;big
31;4025.00;9.70;831.00;big
32;1245.00;9.50;119.00;big
32;1155.00;9.50;410.00;big
33;336.96;9.70;2012.60;big
33;548.04;9.70;2020.09;small
33;312.25;9.70;1872.44;small
33;703.95;9.50;1901.55;small
34;1467.55;9.70;1097.28;small
34;1544.00;9.70;1006.00;small
35;1739.26;9.70;168.98;big
35;1929.42;9.70;344.55;big
35;1856.82;9.70;452.41;big
35;1863.46;9.70;286.19;small
35;1723.30;9.70;318.67;small
36;2138.00;9.70;1954.00;big
36;2024.00;9.70;1989.00;big
37;3171.00;9.70;1644.00;big
37;3214.00;9.70;1689.00;big
38;3141.00;9.70;1592.00;small
38;3078.00;9.70;1558.00;small
39;3191.00;9.70;1507.00;small
39;3139.25;9.70;1540.91;small
40;3525.98;9.70;1624.28;small
40;3580.84;9.70;1575.38;small
41;2768.50;9.70;1362.39;small
41;2825.08;9.70;1350.29;small
41;2792.73;9.70;1318.04;small
42;2702.00;9.50;1413.00;small
42;2735.00;9.50;1437.00;small
43;2600.39;9.50;1660.87;big
43;2612.31;9.50;1518.55;big
44;2414.00;9.50;1852.00;big
44;2294.00;9.50;1931.00;big
45;2835.34;9.50;1962.94;big
45;2663.93;9.50;1825.76;big
46;3452.64;9.50;1958.18;big
46;3113.96;9.50;2024.41;small
47;2588.00;9.50;1347.00;big
47;2532.00;9.50;1241.00;big
48;2527.00;9.50;1047.00;big
48;2616.00;9.50;1172.00;big
49;2431.00;9.50;1506.00;big
49;2307.00;9.50;1671.00;big
50;2078.00;9.50;1765.00;big
50;1867.00;9.50;1978.00;big
51;2321.00;9.50;1332.00;big
51;2191.00;9.50;1473.00;big
52;1363.00;9.50;1299.00;big
52;1342.34;9.50;1211.02;big
53;1848.00;9.50;1116.00;big
53;1585.11;9.50;1190.06;big
53;1589.88;9.50;1078.60;small
54;1701.00;9.50;1492.00;big
54;1778.00;9.50;1570.00;big
55;1875.00;9.50;1693.00;big
55;1913.00;9.50;1575.00;big
56;2034.00;9.50;1461.00;big
56;2089.00;9.50;1303.00;big
57;1811.00;9.50;1263.00;big
57;1827.00;9.55;1412.00;big
58;2355.00;9.50;1038.00;big
58;2265.00;9.50;1153.00;big
59;2001.00;9.50;1114.00;big
59;2087.00;9.50;952.00;big
